2021-04-19 10:17:39.326 WARN  --- [http-nio-18080-exec-1] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:PreparedStatementCallback; Duplicate entry 'o1' for key 'remark.order_id'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'o1' for key 'remark.order_id' by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o1, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
2021-04-19 10:18:47.248 WARN  --- [DatebookHikariCP housekeeper] com.zaxxer.hikari.pool.HikariPool - DatebookHikariCP - Thread starvation or clock leap detected (housekeeper delta=1m8s261ms82µs400ns).
2021-04-19 10:18:47.248 WARN  --- [http-nio-18080-exec-5] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:PreparedStatementCallback; Duplicate entry 'o1' for key 'remark.order_id'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'o1' for key 'remark.order_id' by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o1, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
2021-04-19 10:23:41.556 WARN  --- [http-nio-18080-exec-3] com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@e090066 (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-04-19 10:23:41.558 WARN  --- [http-nio-18080-exec-3] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: DatebookHikariCP - Connection is not available, request timed out after 5025ms. by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o12, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
2021-04-19 10:30:48.281 WARN  --- [http-nio-18080-exec-1] com.zaxxer.hikari.pool.PoolBase - DatebookHikariCP - Failed to validate connection com.mysql.cj.jdbc.ConnectionImpl@2c5220fe (No operations allowed after connection closed.). Possibly consider using a shorter maxLifetime value.
2021-04-19 10:30:48.282 WARN  --- [http-nio-18080-exec-1] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:Failed to obtain JDBC Connection; nested exception is java.sql.SQLTransientConnectionException: DatebookHikariCP - Connection is not available, request timed out after 5003ms. by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o14, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
2021-04-19 10:31:03.781 WARN  --- [http-nio-18080-exec-6] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:PreparedStatementCallback; Duplicate entry 'o14' for key 'remark.order_id'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'o14' for key 'remark.order_id' by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o14, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
2021-04-19 10:31:04.774 WARN  --- [http-nio-18080-exec-9] com.sunday.remark.service.RemarkService - function RemarkService.createRemark make exception:PreparedStatementCallback; Duplicate entry 'o14' for key 'remark.order_id'; nested exception is java.sql.SQLIntegrityConstraintViolationException: Duplicate entry 'o14' for key 'remark.order_id' by:Remark(id=0, consumerId=1, itemId=item-1, orderId=o14, score=100, header=深入浅出，推荐, content=强烈推荐，把复杂的算法讲得很清楚，学习一个新算法，很受用。学完了再看其他数据再一步深入。, images=xxx, createTime=null, username=name, userface=face)
